"anyo","mes","dia","hora","temp","hum","wspd","wdir","wdire","presion","fog","rain","snow"
"2018","7","24","19","32","18","18","232","SW",NA,NA,0,"0"
"2018","7","24","20","31","18","18","241","WSW",NA,NA,0,"0"
"2018","7","24","21","30","20","16","242","WSW",NA,NA,0,"0"
"2018","7","24","22","29","22","13","245","WSW",NA,NA,0,"0"
"2018","7","24","23","27","24","11","250","WSW",NA,NA,0,"0"
"2018","7","25","0","26","26","10","250","WSW",NA,NA,0,"0"
"2018","7","25","1","25","28","8","251","WSW",NA,NA,0,"0"
"2018","7","25","2","24","31","5","247","WSW",NA,NA,0,"0"
"2018","7","25","3","22","34","5","254","WSW",NA,NA,0,"0"
"2018","7","25","4","21","38","3","286","WNW",NA,NA,0,"0"
"2018","7","25","5","19","44","3","313","NW",NA,NA,0,"0"
"2018","7","25","6","18","52","5","353","N",NA,NA,0,"0"
"2018","7","25","7","18","59","5","25","NNE",NA,NA,0,"0"
"2018","7","25","8","19","58","5","39","NE",NA,NA,0,"0"
"2018","7","25","9","21","51","5","71","ENE",NA,NA,0,"0"
"2018","7","25","10","23","40","3","117","ESE",NA,NA,0,"0"
"2018","7","25","11","26","31","5","163","SSE",NA,NA,0,"0"
"2018","7","25","12","28","27","6","190","S",NA,NA,0,"0"
"2018","7","25","13","30","23","10","210","SSW",NA,NA,0,"0"
"2018","7","25","14","31","21","13","217","SW",NA,NA,0,"0"
"2018","7","25","15","32","19","13","215","SW",NA,NA,0,"0"
"2018","7","25","16","33","16","13","213","SSW",NA,NA,0,"0"
"2018","7","25","17","34","15","13","218","SW",NA,NA,0,"0"
"2018","7","25","18","34","16","13","219","SW",NA,NA,0,"0"
"2018","7","25","19","34","16","11","217","SW",NA,NA,0,"0"
"2018","7","25","20","33","17","11","242","WSW",NA,NA,0,"0"
"2018","7","25","21","32","19","11","253","WSW",NA,NA,0,"0"
"2018","7","25","22","30","22","10","259","W",NA,NA,0,"0"
"2018","7","25","23","28","25","10","268","W",NA,NA,0,"0"
"2018","7","26","0","27","28","10","272","W",NA,NA,0,"0"
"2018","7","26","1","26","30","8","272","W",NA,NA,0,"0"
"2018","7","26","2","24","33","5","266","W",NA,NA,0,"0"
"2018","7","26","3","23","36","5","245","WSW",NA,NA,0,"0"
"2018","7","26","4","22","38","3","223","SW",NA,NA,0,"0"
"2018","7","26","5","21","42","3","211","SSW",NA,NA,0,"0"
"2018","7","26","6","20","45","3","202","SSW",NA,NA,0,"0"
"2018","7","26","7","19","50","3","143","SE",NA,NA,0,"0"
"2018","7","26","8","19","50","3","105","ESE",NA,NA,0,"0"
"2018","7","26","9","22","45","3","109","ESE",NA,NA,0,"0"
"2018","7","26","10","24","39","5","147","SE",NA,NA,0,"0"
"2018","7","26","11","26","33","5","181","S",NA,NA,0,"0"
"2018","7","26","12","29","29","6","197","SSW",NA,NA,0,"0"
"2018","7","26","13","30","25","10","217","SW",NA,NA,0,"0"
"2018","7","26","14","32","22","11","223","SW",NA,NA,0,"0"
"2018","7","26","15","33","20","13","218","SW",NA,NA,0,"0"
"2018","7","26","16","34","18","14","214","SSW",NA,NA,0,"0"
"2018","7","26","17","34","17","14","215","SW",NA,NA,0,"0"
"2018","7","26","18","34","18","14","219","SW",NA,NA,0,"0"
"2018","7","26","19","33","18","14","220","SW",NA,NA,0,"0"
"2018","7","26","20","33","18","13","241","WSW",NA,NA,0,"0"
"2018","7","26","21","32","20","14","238","WSW",NA,NA,0,"0"
"2018","7","26","22","30","23","13","246","WSW",NA,NA,0,"0"
"2018","7","26","23","28","26","13","258","WSW",NA,NA,0,"0"
"2018","7","27","0","27","29","11","262","W",NA,NA,0,"0"
"2018","7","27","1","26","31","10","264","W",NA,NA,0,"0"
"2018","7","27","2","24","34","8","267","W",NA,NA,0,"0"
"2018","7","27","3","23","37","6","264","W",NA,NA,0,"0"
"2018","7","27","4","22","42","5","273","W",NA,NA,0,"0"
"2018","7","27","5","21","47","5","285","WNW",NA,NA,0,"0"
"2018","7","27","6","20","50","3","305","NW",NA,NA,0,"0"
"2018","7","27","7","19","54","3","333","NNW",NA,NA,0,"0"
"2018","7","27","8","20","52","3","339","NNW",NA,NA,0,"0"
"2018","7","27","9","22","45","3","4","N",NA,NA,0,"0"
"2018","7","27","10","24","40","3","116","ESE",NA,NA,0,"0"
"2018","7","27","11","27","35","5","192","S",NA,NA,0,"0"
"2018","7","27","12","29","31","8","199","SSW",NA,NA,0,"0"
"2018","7","27","13","30","27","11","212","SSW",NA,NA,0,"0"
"2018","7","27","14","32","23","14","219","SW",NA,NA,0,"0"
"2018","7","27","15","33","21","16","220","SW",NA,NA,0,"0"
"2018","7","27","16","34","19","16","220","SW",NA,NA,0,"0"
"2018","7","27","17","34","17","16","224","SW",NA,NA,0,"0"
"2018","7","27","18","34","17","18","225","SW",NA,NA,0,"0"
"2018","7","27","19","34","16","18","224","SW",NA,NA,0,"0"
"2018","7","27","20","33","16","18","238","WSW",NA,NA,0,"0"
"2018","7","27","21","32","18","18","247","WSW",NA,NA,0,"0"
"2018","7","27","22","30","21","16","253","WSW",NA,NA,0,"0"
"2018","7","27","23","29","24","14","260","W",NA,NA,0,"0"
"2018","7","28","0","27","27","13","263","W",NA,NA,0,"0"
"2018","7","28","1","26","30","11","266","W",NA,NA,0,"0"
"2018","7","28","2","24","34","8","269","W",NA,NA,0,"0"
"2018","7","28","3","23","38","6","275","W",NA,NA,0,"0"
"2018","7","28","4","22","40","5","292","WNW",NA,NA,0,"0"
"2018","7","28","5","20","45","3","307","NW",NA,NA,0,"0"
"2018","7","28","6","20","49","3","323","NW",NA,NA,0,"0"
"2018","7","28","7","19","57","3","346","NNW",NA,NA,0,"0"
"2018","7","28","8","20","57","5","4","N",NA,NA,0,"0"
"2018","7","28","9","22","52","5","27","NNE",NA,NA,0,"0"
"2018","7","28","10","24","48","5","38","NE",NA,NA,0,"0"
"2018","7","28","11","26","41","5","44","NE",NA,NA,0,"0"
"2018","7","28","12","28","35","6","202","SSW",NA,NA,0,"0"
"2018","7","28","13","30","28","8","223","SW",NA,NA,0,"0"
"2018","7","28","14","31","22","11","229","SW",NA,NA,0,"0"
"2018","7","28","15","32","19","13","229","SW",NA,NA,0,"0"
"2018","7","28","16","33","17","13","227","SW",NA,NA,0,"0"
"2018","7","28","17","34","15","13","227","SW",NA,NA,0,"0"
"2018","7","28","18","34","14","14","225","SW",NA,NA,0,"0"
"2018","7","28","19","34","14","13","221","SW",NA,NA,0,"0"
"2018","7","28","20","33","14","13","239","WSW",NA,NA,0,"0"
"2018","7","28","21","32","16","14","244","WSW",NA,NA,0,"0"
"2018","7","28","22","30","20","11","254","WSW",NA,NA,0,"0"
"2018","7","28","23","28","23","10","270","W",NA,NA,0,"0"
"2018","7","29","0","26","28","10","271","W",NA,NA,0,"0"
"2018","7","29","1","25","31","8","272","W",NA,NA,0,"0"
"2018","7","29","2","24","36","5","273","W",NA,NA,0,"0"
"2018","7","29","3","23","41","5","308","NW",NA,NA,0,"0"
"2018","7","29","4","22","46","5","357","N",NA,NA,0,"0"
"2018","7","29","5","20","52","6","7","N",NA,NA,0,"0"
"2018","7","29","6","20","56","6","11","N",NA,NA,0,"0"
"2018","7","29","7","19","59","6","26","NNE",NA,NA,0,"0"
"2018","7","29","8","20","58","5","29","NNE",NA,NA,0,"0"
"2018","7","29","9","22","51","5","54","NE",NA,NA,0,"0"
"2018","7","29","10","24","44","3","92","E",NA,NA,0,"0"
"2018","7","29","11","26","36","5","165","SSE",NA,NA,0,"0"
"2018","7","29","12","29","31","6","188","S",NA,NA,0,"0"
"2018","7","29","13","30","25","10","205","SSW",NA,NA,0,"0"
"2018","7","29","14","32","22","11","216","SW",NA,NA,0,"0"
"2018","7","29","15","33","20","13","218","SW",NA,NA,0,"0"
"2018","7","29","16","34","18","14","219","SW",NA,NA,0,"0"
"2018","7","29","17","34","17","14","221","SW",NA,NA,0,"0"
"2018","7","29","18","34","17","14","222","SW",NA,NA,0,"0"
"2018","7","29","19","34","17","14","221","SW",NA,NA,0,"0"
"2018","7","29","20","34","17","14","236","SW",NA,NA,0,"0"
"2018","7","29","21","32","19","14","244","WSW",NA,NA,0,"0"
"2018","7","29","22","30","22","13","246","WSW",NA,NA,0,"0"
"2018","7","29","23","29","24","13","253","WSW",NA,NA,0,"0"
"2018","7","30","0","27","28","11","255","WSW",NA,NA,0,"0"
"2018","7","30","1","26","32","10","257","WSW",NA,NA,0,"0"
"2018","7","30","2","24","36","6","254","WSW",NA,NA,0,"0"
"2018","7","30","3","23","40","5","256","WSW",NA,NA,0,"0"
"2018","7","30","4","22","44","3","269","W",NA,NA,0,"0"
"2018","7","30","5","21","50","3","282","WNW",NA,NA,0,"0"
"2018","7","30","6","20","53","3","301","WNW",NA,NA,0,"0"
"2018","7","30","7","19","57","3","321","NW",NA,NA,0,"0"
"2018","7","30","8","20","57","3","316","NW",NA,NA,0,"0"
"2018","7","30","9","22","50","3","10","N",NA,NA,0,"0"
"2018","7","30","10","24","45","3","170","S",NA,NA,0,"0"
"2018","7","30","11","27","39","3","200","SSW",NA,NA,0,"0"
"2018","7","30","12","29","34","6","202","SSW",NA,NA,0,"0"
"2018","7","30","13","30","29","8","211","SSW",NA,NA,0,"0"
"2018","7","30","14","32","25","10","221","SW",NA,NA,0,"0"
"2018","7","30","15","33","22","11","217","SW",NA,NA,0,"0"
"2018","7","30","16","34","20","11","217","SW",NA,NA,0,"0"
"2018","7","30","17","34","18","13","222","SW",NA,NA,0,"0"
"2018","7","30","18","34","18","13","223","SW",NA,NA,0,"0"
"2018","7","30","19","34","18","11","224","SW",NA,NA,0,"0"
"2018","7","30","20","34","19","11","250","WSW",NA,NA,0,"0"
"2018","7","30","21","32","21","11","277","W",NA,NA,0,"0"
"2018","7","30","22","30","25","10","285","WNW",NA,NA,0,"0"
"2018","7","30","23","29","29","8","303","WNW",NA,NA,0,"0"
"2018","7","31","0","27","35","8","325","NW",NA,NA,0,"0"
"2018","7","31","1","26","39","10","359","N",NA,NA,0,"0"
"2018","7","31","2","25","45","8","11","N",NA,NA,0,"0"
"2018","7","31","3","23","50","10","14","NNE",NA,NA,0,"0"
"2018","7","31","4","22","54","10","22","NNE",NA,NA,0,"0"
"2018","7","31","5","21","59","8","23","NNE",NA,NA,0,"0"
"2018","7","31","6","21","61","10","21","NNE",NA,NA,0,"0"
"2018","7","31","7","20","65","10","29","NNE",NA,NA,0,"0"
"2018","7","31","8","21","63","10","29","NNE",NA,NA,0,"0"
"2018","7","31","9","23","56","10","38","NE",NA,NA,0,"0"
"2018","7","31","10","25","51","10","50","NE",NA,NA,0,"0"
"2018","7","31","11","27","46","8","61","ENE",NA,NA,0,"0"
"2018","7","31","12","29","40","8","84","E",NA,NA,0,"0"
"2018","7","31","13","30","35","6","112","ESE",NA,NA,0,"0"
"2018","7","31","14","32","29","6","129","SE",NA,NA,0,"0"
"2018","7","31","15","33","26","6","148","SSE",NA,NA,0,"0"
"2018","7","31","16","34","23","6","162","SSE",NA,NA,0,"0"
"2018","7","31","17","34","21","6","177","S",NA,NA,0,"0"
"2018","7","31","18","34","20","6","177","S",NA,NA,0,"0"
"2018","7","31","19","34","20","6","174","S",NA,NA,0,"0"
"2018","7","31","20","34","21","6","185","S",NA,NA,0,"0"
"2018","7","31","21","32","24","8","48","NE",NA,NA,0,"0"
"2018","7","31","22","31","29","10","47","NE",NA,NA,0,"0"
"2018","7","31","23","29","33","11","41","NE",NA,NA,0,"0"
"2018","8","1","0","28","38","13","51","NE",NA,NA,0,"0"
"2018","8","1","1","26","43","13","60","ENE",NA,NA,0,"0"
"2018","8","1","2","25","47","11","66","ENE",NA,NA,0,"0"
"2018","8","1","3","24","51","13","65","ENE",NA,NA,0,"0"
"2018","8","1","4","23","53","11","58","ENE",NA,NA,0,"0"
"2018","8","1","5","21","57","11","52","NE",NA,NA,0,"0"
"2018","8","1","6","21","58","11","49","NE",NA,NA,0,"0"
"2018","8","1","7","20","61","11","51","NE",NA,NA,0,"0"
"2018","8","1","8","21","59","11","49","NE",NA,NA,0,"0"
"2018","8","1","9","23","53","11","58","ENE",NA,NA,0,"0"
"2018","8","1","10","25","47","11","69","ENE",NA,NA,0,"0"
"2018","8","1","11","27","40","10","83","E",NA,NA,0,"0"
"2018","8","1","12","29","34","10","103","ESE",NA,NA,0,"0"
"2018","8","1","13","31","29","11","120","ESE",NA,NA,0,"0"
"2018","8","1","14","32","25","11","131","SE",NA,NA,0,"0"
"2018","8","1","15","33","23","11","137","SE",NA,NA,0,"0"
"2018","8","1","16","34","21","13","142","SE",NA,NA,0,"0"
"2018","8","1","17","35","20","13","148","SSE",NA,NA,0,"0"
"2018","8","1","18","35","20","14","148","SSE",NA,NA,0,"0"
"2018","8","1","19","35","20","14","150","SSE",NA,NA,0,"0"
"2018","8","1","20","34","21","14","150","SSE",NA,NA,0,"0"
"2018","8","1","21","33","23","14","136","SE",NA,NA,0,"0"
"2018","8","1","22","31","26","14","132","SE",NA,NA,0,"0"
"2018","8","1","23","30","29","13","122","ESE",NA,NA,0,"0"
"2018","8","2","0","28","33","13","115","ESE",NA,NA,0,"0"
"2018","8","2","1","27","37","11","105","ESE",NA,NA,0,"0"
"2018","8","2","2","26","41","10","105","ESE",NA,NA,0,"0"
"2018","8","2","3","24","44","10","104","ESE",NA,NA,0,"0"
"2018","8","2","4","23","47","10","94","E",NA,NA,0,"0"
"2018","8","2","5","22","51","8","81","E",NA,NA,0,"0"
"2018","8","2","6","21","54","8","70","ENE",NA,NA,0,"0"
"2018","8","2","7","20","57","8","70","ENE",NA,NA,0,"0"
"2018","8","2","8","21","57","8","66","ENE",NA,NA,0,"0"
"2018","8","2","9","23","50","8","74","ENE",NA,NA,0,"0"
"2018","8","2","10","25","46","8","85","E",NA,NA,0,"0"
"2018","8","2","11","27","40","10","101","E",NA,NA,0,"0"
"2018","8","2","12","30","34","10","121","ESE",NA,NA,0,"0"
"2018","8","2","13","31","29","11","137","SE",NA,NA,0,"0"
"2018","8","2","14","33","25","11","143","SE",NA,NA,0,"0"
"2018","8","2","15","34","23","13","147","SSE",NA,NA,0,"0"
"2018","8","2","16","35","21","13","148","SSE",NA,NA,0,"0"
"2018","8","2","17","35","19","13","151","SSE",NA,NA,0,"0"
"2018","8","2","18","35","18","14","151","SSE",NA,NA,0,"0"
"2018","8","2","19","35","19","13","153","SSE",NA,NA,0,"0"
"2018","8","2","20","35","19","13","157","SSE",NA,NA,0,"0"
"2018","8","2","21","34","21","13","143","SE",NA,NA,0,"0"
"2018","8","2","22","32","24","11","144","SE",NA,NA,0,"0"
"2018","8","2","23","30","27","11","142","SE",NA,NA,0,"0"
"2018","8","3","0","29","30","10","140","SE",NA,NA,0,"0"
"2018","8","3","1","28","34","10","130","SE",NA,NA,0,"0"
"2018","8","3","2","26","38","8","127","SE",NA,NA,0,"0"
"2018","8","3","3","25","43","6","127","SE",NA,NA,0,"0"
"2018","8","3","4","24","46","6","117","ESE",NA,NA,0,"0"
"2018","8","3","5","22","50","6","108","ESE",NA,NA,0,"0"
"2018","8","3","6","21","52","6","97","E",NA,NA,0,"0"
"2018","8","3","7","21","56","6","95","E",NA,NA,0,"0"
"2018","8","3","8","22","55","6","92","E",NA,NA,0,"0"
"2018","8","3","9","24","50","6","98","E",NA,NA,0,"0"
"2018","8","3","10","26","46","6","113","ESE",NA,NA,0,"0"
"2018","8","3","11","28","40","8","135","SE",NA,NA,0,"0"
"2018","8","3","12","30","35","8","153","SSE",NA,NA,0,"0"
"2018","8","3","13","32","30","10","170","S",NA,NA,0,"0"
"2018","8","3","14","33","26","11","180","S",NA,NA,0,"0"
"2018","8","3","15","34","24","11","185","S",NA,NA,0,"0"
"2018","8","3","16","35","22","11","192","S",NA,NA,0,"0"
"2018","8","3","17","35","20","13","201","SSW",NA,NA,0,"0"
"2018","8","3","18","35","20","13","204","SSW",NA,NA,0,"0"
